Jobs,Relevant Minor Categories,,,,,,,,,,,,
Human Resources Specialists,Information & Technology,Politics & Public Policy,Management & Information Systems,,,,,,,,,,
Hydrologists,Environmental Science & Studies,Specializations & Engineering,Earth Sciences,Physics & Astronomy,,,,,,,,,
Industrial Ecologists,Environmental Science & Studies,Specializations & Engineering,,,,,,,,,,,
Industrial Engineers,Specializations & Engineering,Electrical & Mechanical Engineering,,,,,,,,,,,
Industrial Production Managers,Specializations & Engineering,Electrical & Mechanical Engineering,Management & Information Systems,,,,,,,,,,
Industrial-Organizational Psychologists,Psychology,Marketing & Consumer Services,Management & Information Systems,,,,,,,,,,
Information Security Analysts,Information & Technology,Computer Science and Engineering,,,,,,,,,,,
Information Security Engineers,Information & Technology,Computer Science and Engineering,,,,,,,,,,,
Information Technology Project Managers,Information & Technology,Computer Science and Engineering,,,,,,,,,,,
Instructional Coordinators,Education,,,,,,,,,,,,
"Insurance Appraisers, Auto Damage",Accounting & Finance,Specializations & Business,,,,,,,,,,,
Insurance Sales Agents,Accounting & Finance,Specializations & Business,Marketing & Consumer Services,,,,,,,,,,
Insurance Underwriters,Accounting & Finance,Management & Information Systems,Specializations & Business,Economics,Management & Information Systems,Applied & General Mathematics,,,,,,,
Intelligence Analysts,Politics & Public Policy,Sociology,Law & Criminology,Information & Technology,,,,,,,,,
Interior Designers,Design,General Art,Cinema & Visual Arts,,,,,,,,,,
Interpreters & Translators,Language & Literature,Linguistics,,,,,,,,,,,
Investment Fund Managers,Accounting & Finance,Economics,Management & Information Systems,Applied & General Mathematics,,,,,,,,,
"Judges, Magistrate Judges, & Magistrates",Law & Criminology,Politics & Public Policy,Philosophy & Religion,Anthropology & History,,,,,,,,,
Kindergarten Teachers,Education,Psychology,,,,,,,,,,,
Labor Relations Specialists,Specializations & Business,Management & Information Systems,Politics & Public Policy,,,,,,,,,,
Landscape Architects,Environmental Science & Studies,City Planning & Architecture,,,,,,,,,,,
"Law Teachers, Postsecondary",Law & Criminology,,,,,,,,,,,,
Lawyers,Law & Criminology,Politics & Public Policy,Philosophy & Religion,Anthropology & History,,,,,,,,,
Librarians & Media Collections Specialists,Language & Literature,General Humanities,Anthropology & History,Cultural & Ethnic Studies,Feminist & Gender Studies,Philosophy & Religion,Cinema & Visual Arts,General Art,Communication & Journalism,,,,
Loan Officers,Specializations & Business,Accounting & Finance,Economics,,,,,,,,,,
Locomotive Engineers,Specializations & Engineering,Electrical & Mechanical Engineering,,,,,,,,,,,
Lodging Managers,Management & Information Systems,Specializations & Business,Social Services,,,,,,,,,,
Logisticians,Information & Technology,Management & Information Systems,Specializations & Business,,,,,,,,,,
Loss Prevention Managers,Accounting & Finance,Management & Information Systems,,,,,,,,,,,
"Low Vision Therapists, Orientation & Mobility Specialists, & Vision Rehabilitation Therapists",Medical Sciences,Athletic & Bodily Science,Biology,Social Services,,,,,,,,,
Management Analysts,Management & Information Systems,Statistics & Data Science,Information & Technology,,,,,,,,,,
Manufacturing Engineers,Electrical & Mechanical Engineering,Specializations & Engineering,,,,,,,,,,,
Marine Engineers & Naval Architects,Electrical & Mechanical Engineering,Specializations & Engineering,,,,,,,,,,,
Market Research Analysts & Marketing Specialists,Statistics & Data Science,Marketing & Consumer Services,Economics,Communication & Journalism,,,,,,,,,
Marriage & Family Therapists,Psychology,,,,,,,,,,,,
Materials Engineers,Chemistry,Specializations & Engineering,,,,,,,,,,,
Materials Scientists,Physics & Astronomy,Specializations & Engineering,Chemistry,,,,,,,,,,
"Mathematical Science Teachers, Postsecondary",Applied & General Mathematics,Statistics & Data Science,,,,,,,,,,,
Mathematicians,Applied & General Mathematics,Statistics & Data Science,,,,,,,,,,,
Mechanical Engineers,Specializations & Engineering,Electrical & Mechanical Engineering,,,,,,,,,,,
Mechatronics Engineers,Computer Science and Engineering,Specializations & Engineering,Electrical & Mechanical Engineering,,,,,,,,,,
Media Programming Directors,Communication & Journalism,Performing Arts,General Art,Cinema & Visual Arts,,,,,,,,,
Media Technical Directors/Managers,Communication & Journalism,Cinema & Visual Arts,Information & Technology,Computer Science and Engineering,,,,,,,,,
Medical & Clinical Laboratory Technologists,Medical Sciences,Biology,Chemistry,,,,,,,,,,
Medical & Health Services Managers,Management & Information Systems,Medical Sciences,Politics & Public Policy,Social Services,,,,,,,,,
Medical Scientists,Medical Sciences,Biology,Chemistry,,,,,,,,,,
"Meeting, Convention, & Event Planners",Marketing & Consumer Services,Specializations & Business,Management & Information Systems,Social Services,,,,,,,,,
Mental Health & Substance Abuse Social Workers,Psychology,Medical Sciences,Social Services,Sociology,,,,,,,,,
Mental Health Counselors,Psychology,Social Services,Sociology,,,,,,,,,,
Microbiologists,Biology,,,,,,,,,,,,
Microsystems Engineers,Specializations & Engineering,Electrical & Mechanical Engineering,Computer Science and Engineering,,,,,,,,,,
Middle School Teachers,Education,General Humanities,Anthropology & History,Applied & General Mathematics,Sociology,Psychology,General Art,Earth Sciences,Language & Literature,,,,
Midwives,Biology,Medical Sciences,,,,,,,,,,,
"Mining & Geological Engineers, Including Mining Safety Engineers",Electrical & Mechanical Engineering,Specializations & Engineering,City Planning & Architecture,Earth Sciences,,,,,,,,,
Molecular & Cellular Biologists,Biology,Chemistry,,,,,,,,,,,
Museum Technicians & Conservators,Language & Literature,General Art,Anthropology & History,Cultural & Ethnic Studies,,,,,,,,,
Music Directors & Composers,Music,Performing Arts,,,,,,,,,,,
Music Therapists,Music,Psychology,,,,,,,,,,,
Musicians & Singers,Performing Arts,Music,,,,,,,,,,,
Naturopathic Physicians,Biology,Medical Sciences,Athletic & Bodily Science,Psychology,,,,,,,,,
Network & Computer Systems Administrators,Information & Technology,Computer Science and Engineering,,,,,,,,,,,
Neurologists,Biology,Medical Sciences,,,,,,,,,,,
Neuropsychologists,Psychology,Biology,Medical Sciences,,,,,,,,,,
"News Analysts, Reporters, & Journalists",Communication & Journalism,Language & Literature,,,,,,,,,,,
Nuclear Engineers,Specializations & Engineering,Electrical & Mechanical Engineering,,,,,,,,,,,
Nurse Anesthetists,Biology,Medical Sciences,,,,,,,,,,,
Nurse Practitioners,Biology,Medical Sciences,,,,,,,,,,,
"Nursing Instructors & Teachers, Postsecondary",Biology,Medical Sciences,,,,,,,,,,,
Obstetricians & Gynecologists,Medical Sciences,Biology,,,,,,,,,,,
Occupational Health & Safety Specialists,Medical Sciences,Politics & Public Policy,,,,,,,,,,,
Occupational Therapists,Medical Sciences,Biology,,,,,,,,,,,
Online Merchants,Specializations & Business,Marketing & Consumer Services,Management & Information Systems,Accounting & Finance,,,,,,,,,
Operations Research Analysts,Applied & General Mathematics,Statistics & Data Science,Economics,,,,,,,,,,
Ophthalmologists,Biology,Medical Sciences,,,,,,,,,,,
Optometrists,Biology,Medical Sciences,,,,,,,,,,,
Oral & Maxillofacial Surgeons,Biology,Medical Sciences,,,,,,,,,,,
Orthodontists,Biology,Medical Sciences,,,,,,,,,,,
Orthopedic Surgeons,Biology,Medical Sciences,,,,,,,,,,,
Orthoptists,Biology,Medical Sciences,,,,,,,,,,,
Orthotists & Prosthetists,Medical Sciences,Biology,,,,,,,,,,,
Paralegals & Legal Assistants,Specializations & Business,Sociology,Law & Criminology,Politics & Public Policy,Philosophy & Religion,Anthropology & History,,,,,,,
Park Naturalists,Earth Sciences,Environmental Science & Studies,Social Services,Biology,,,,,,,,,
Payroll & Timekeeping Clerks,Management & Information Systems,Accounting & Finance,,,,,,,,,,,
Pediatric Surgeons,Biology,Medical Sciences,,,,,,,,,,,
"Pediatricians, General",Biology,Medical Sciences,,,,,,,,,,,
Personal Financial Advisors,Accounting & Finance,Economics,,,,,,,,,,,
